Nome;Squadra;Media FantaVoto 23/24 (previsione);Quota;Rapporto FantaVoto/Quota;Ruolo;Cluster
De Silvestri;Bologna;6.2963014;2;3.148150682;D;Malus taker
Ceccherini;Verona;5.778808;4;1.444702029;D;Malus taker
Ferrari G.;Sassuolo;5.71589;4;1.428972483;D;Malus taker
Lykogiannis;Bologna;5.7281194;5;1.145623875;D;Malus taker
Ranieri L.;Fiorentina;5.9613533;5;1.19227066;D;Malus taker
Toljan;Sassuolo;5.91735;6;0.986224969;D;Malus taker
Gallo;Lecce;6.0121098;5;1.202421951;D;Malus taker
Bellanova;Inter;6.113412;8;0.764176488;D;Malus taker
Soumaoro;Bologna;5.7866344;4;1.446658611;D;Malus taker
Ismajli;Empoli;5.7328987;5;1.146579742;D;Malus taker
Ballo-Toure';Milan;6.085057;2;3.042528391;D;Malus taker
Amione;Sampdoria;5.860551;3;1.95351696;D;Malus taker
Gatti;Juventus;5.858405;6;0.976400852;D;Malus taker
Birindelli;Monza;5.841723;5;1.168344593;D;Malus taker
Ebosele;Udinese;5.8510594;4;1.462764859;D;Malus taker
Sambia;Salernitana;6.024802;4;1.506200552;D;Malus taker
Lucumi';Bologna;6.1269917;7;0.875284536;D;Malus taker
Palomino;Atalanta;5.911753;7;0.844536168;D;Malus taker
Bonifazi;Bologna;6.0427165;3;2.014238834;D;Malus taker
Lazzari;Lazio;6.011066;5;1.202213192;D;Malus taker
Gunter;Sampdoria;5.756454;4;1.439113498;D;Malus taker
Magnani;Verona;5.7537894;3;1.917929808;D;Malus taker
Dawidowicz;Verona;5.8416743;4;1.460418582;D;Malus taker
Celik;Roma;6.0309215;3;2.010307153;D;Malus taker
Stojanovic;Empoli;5.9512615;3;1.98375384;D;Malus taker
Daniliuc;Salernitana;5.7819967;3;1.927332242;D;Malus taker
Rugani;Juventus;6.273501;3;2.091166973;D;Malus taker
De Sciglio;Juventus;6.300008;3;2.100002607;D;Malus taker
Alex Sandro;Juventus;5.914238;6;0.985706329;D;Malus taker
Hateboer;Atalanta;5.9582324;7;0.851176058;D;Malus taker
Venuti;Fiorentina;5.821733;4;1.455433249;D;Malus taker
Kjaer;Milan;5.822479;4;1.455619693;D;Malus taker
Pellegrini Lu.;Lazio;6.0415635;4;1.510390878;D;Malus taker
Walukiewicz;Empoli;6.1357045;3;2.045234839;D;Malus taker
Okoli;Atalanta;5.848912;2;2.924455881;D;Malus taker
Lovato;Salernitana;5.898117;4;1.474529266;D;Malus taker
Erlic;Sassuolo;6.0077634;5;1.201552677;D;Malus taker
Coppola D.;Verona;5.9031444;2;2.95157218;D;Malus taker
Cacace;Empoli;6.0116463;3;2.00388209;D;Malus taker
Abankwah;Udinese;6.102532;1;6.10253191;D;Malus taker
